Date,Open,High,Low,Close,Volume,S_3,S_9,predicted_data_price,signal
2015-01-15,140.38972519383287,142.32880979595762,140.0019082734079,140.7775421142578,2570700,140.5189971923828,139.91573079427084,140.19016529582692,No Position
2015-01-16,140.0019073486328,141.16535810222254,139.61409043076955,140.0019073486328,2941400,140.1311798095703,140.04500325520834,139.73866520426787,No Position
2015-01-19,140.77758755341418,141.55322164461757,139.6141364166091,140.3897705078125,1721900,140.38973999023438,140.56209648980035,139.95602339718994,Buy
2015-01-20,138.4506382862283,139.61408902812937,136.89937063036018,138.8384552001953,7921000,139.74337768554688,140.64827643500433,139.22145029190955,No Position
2015-01-21,139.22627211416236,140.38972285606343,138.06282137226125,138.8384552001953,8996200,139.35556030273438,140.38973151312933,138.8237306369688,No Position
2015-01-22,139.61409135298297,140.7775421142578,138.83845751213306,140.7775421142578,10593300,139.4848175048828,140.13118489583334,139.0040918638756,Buy
2015-01-23,141.9409978529986,145.0435333251953,141.9409978529986,145.0435333251953,10920700,141.5531768798828,140.60518391927084,141.2507510423356,Buy
2015-01-26,144.2678985595703,145.0435324227938,142.7166308331233,144.2678985595703,7517600,143.3629913330078,140.94991048177084,143.22628818009971,Buy
2015-01-27,144.65571639117073,146.59480106129365,143.88008252312156,145.0435333251953,4786100,144.7849884033203,141.55318196614584,144.7323984140987,Buy
2015-01-28,145.04353196794455,145.04353196794455,143.49226424636225,143.8800811767578,4447900,144.3971710205078,141.89790852864584,144.25102030219617,No Position
2015-01-29,143.88007888377038,144.2678958079854,141.9409942626953,141.9409942626953,3623300,143.6215362548828,142.11336263020834,143.3539957231468,No Position
2015-01-30,139.61410479957348,140.77755567290325,138.8384708840203,139.22628784179688,7621100,141.68245442708334,141.98408677842883,141.20406229516811,No Position
2015-02-02,138.8384552001953,139.61408902812937,138.06282137226125,138.8384552001953,4445100,140.00191243489584,141.98408677842883,139.32524475130538,No Position
2015-02-03,139.22627488859408,141.55317641876556,138.83845796689883,141.1653594970703,5370700,139.74336751302084,142.24263170030383,139.0003422739912,No Position
2015-02-04,142.71664303296234,143.88009392725277,141.1653751739084,141.55319213867188,5056700,140.51900227864584,142.32881503634982,139.85553738944782,Buy
2015-02-05,140.38972746807596,142.7166290283203,140.38972746807596,142.7166290283203,4268000,141.81172688802084,142.07027011447482,141.33663527836978,Buy
2015-02-06,142.71662811112535,142.71662811112535,140.38972656583525,141.9409942626953,1861800,142.07027180989584,141.81172519259982,141.66153775568395,Buy
2015-02-09,139.61408902812937,140.77753977003044,138.8384552001953,138.8384552001953,4446500,141.1653594970703,141.12227206759982,140.74547074927017,No Position
2015-02-10,138.45063639495334,140.38972093830003,137.2871856689453,137.2871856689453,5867700,139.3555450439453,140.38972812228732,138.82371404812434,No Position
2015-02-11,138.06282229953342,140.38972379896376,136.51155463324653,139.6140899658203,4095500,138.5799102783203,140.13118320041232,137.99242111383063,No Position
2015-02-12,139.61410479957348,140.38973871512667,137.6750200106905,139.22628784179688,2993300,138.70918782552084,140.13118320041232,138.13695122663773,Buy
2015-02-13,139.61408902812937,139.61408902812937,138.06282137226125,138.8384552001953,4686100,139.22627766927084,140.13118320041232,138.71504893244162,Buy
2015-02-16,138.06282137226125,138.8384552001953,137.67500445829424,138.8384552001953,1705200,138.96773274739584,139.87263827853732,138.46185370395187,No Position
2015-02-17,138.83842130140826,138.83842130140826,136.5115203857422,136.5115203857422,3833900,138.06281026204428,139.3124525282118,137.52784921795552,No Position
2015-02-18,136.89938354492188,137.28720049547405,136.1237496438175,136.89938354492188,3096400,137.41645304361978,138.6660919189453,136.89486659797527,No Position
2015-02-19,137.28720049547405,137.67501744602623,136.5115665943697,136.89938354492188,3743500,136.7700958251953,138.10591295030383,136.24993276985768,No Position
2015-02-20,137.28715402429754,137.28715402429754,136.5115203857422,136.5115203857422,1372500,136.7700958251953,137.8473646375868,136.28578686449367,Buy
